state,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
NY,0.2069,0.2379,0.2172,0.5312,0.5638,0.3962,0.5202,0.3992,0.5022,0.2993,0.3696,0.2651,0.2286,0.5824,0.2448,0.2323,0.2231,0.2361,0.562,0.5481,0.2907,0.3696,0.3155,0.2394,0.2637,0.2439,0.2656,0.1941,0.2093,0.3424,0.7479,0.3476,0.5979,1,0.3349,0.2388,0.3194,0.4321,0.5244,0.2472,0.2299,0.2351,0.368,0.387,0.366,0.2928,0.4645,0.3373,0.2357,0.1984
OH,0.5732,0.653,0.6366,0.5368,0.2806,0.6362,0.5296,0.6793,0.6333,0.5676,0.2618,0.8373,0.7221,0.5544,0.8041,0.7507,0.78,0.5975,0.4823,0.2974,0.7553,0.8827,0.8263,0.8283,0.523,0.7878,0.7699,0.7073,0.7151,0.7232,0.3689,0.3027,0.4349,0.3349,1,0.6026,0.7532,0.8522,0.5986,0.714,0.7305,0.6955,0.2854,0.5999,0.7385,0.6135,0.6935,0.8579,0.7608,0.6813
OK,0.6804,0.6725,0.6945,0.4322,0.2607,0.5266,0.2403,0.2954,0.4052,0.4862,0.2423,0.6389,0.6381,0.2203,0.691,0.7375,0.7443,0.5014,0.2068,0.2464,0.482,0.5804,0.5922,0.6701,0.5425,0.6422,0.6746,0.6594,0.5518,0.437,0.2416,0.2318,0.2807,0.2388,0.6026,1,0.591,0.5455,0.2488,0.6089,0.6599,0.7048,0.3525,0.4448,0.4297,0.339,0.4435,0.5608,0.6971,0.6705
OR,0.6334,0.4916,0.5287,0.5694,0.2506,0.704,0.5213,0.5054,0.5741,0.3281,0.2433,0.771,0.7106,0.5093,0.7103,0.7285,0.7069,0.3639,0.4933,0.2744,0.7138,0.7496,0.7921,0.7255,0.331,0.7519,0.6089,0.6625,0.6766,0.7085,0.3653,0.2966,0.4138,0.3194,0.7532,0.591,1,0.7733,0.5888,0.5127,0.6963,0.5897,0.2472,0.5704,0.6173,0.6002,0.7256,0.7812,0.689,0.6405
PA,0.5303,0.5685,0.5551,0.5835,0.2975,0.6631,0.6429,0.7233,0.7295,0.4842,0.2639,0.8055,0.6873,0.619,0.7401,0.6956,0.7166,0.5042,0.583,0.3735,0.7948,0.8722,0.8201,0.7678,0.4394,0.768,0.6899,0.6576,0.6866,0.7836,0.4767,0.3002,0.4853,0.4321,0.8522,0.5455,0.7733,1,0.6856,0.6322,0.6934,0.6191,0.2957,0.572,0.7551,0.6811,0.7367,0.8572,0.7197,0.6344
RI,0.3868,0.2522,0.2595,0.5758,0.3299,0.5904,0.6875,0.5949,0.5964,0.2753,0.2432,0.5665,0.4781,0.6742,0.4652,0.4245,0.4139,0.2425,0.6525,0.3856,0.6166,0.6285,0.615,0.4868,0.2499,0.5236,0.382,0.4256,0.505,0.6555,0.5773,0.3357,0.5174,0.5244,0.5986,0.2488,0.5888,0.6856,1,0.3174,0.4582,0.3275,0.2395,0.5207,0.5708,0.5911,0.7192,0.6424,0.4353,0.3925
SC,0.4145,0.7982,0.6907,0.3176,0.2888,0.3361,0.2815,0.5651,0.5096,0.7433,0.2443,0.6561,0.5327,0.2883,0.695,0.638,0.72,0.7415,0.2566,0.2337,0.5688,0.7132,0.5804,0.7241,0.7294,0.6287,0.8328,0.5701,0.5183,0.4929,0.2611,0.2748,0.2843,0.2472,0.714,0.6089,0.5127,0.6322,0.3174,1,0.5831,0.7388,0.2784,0.3086,0.6036,0.4303,0.3652,0.6302,0.7052,0.5835
SD,0.7082,0.5821,0.6378,0.4684,0.2526,0.6069,0.4065,0.4715,0.437,0.4124,0.2455,0.7833,0.7439,0.3689,0.739,0.7684,0.7689,0.4499,0.364,0.266,0.6863,0.72,0.7625,0.7566,0.4461,0.7901,0.6768,0.7593,0.6936,0.6571,0.2677,0.2739,0.289,0.2299,0.7305,0.6599,0.6963,0.6934,0.4582,0.5831,1,0.6728,0.2582,0.5626,0.5674,0.5821,0.6113,0.7503,0.7366,0.7379
TN,0.5689,0.7253,0.7366,0.3623,0.2707,0.4854,0.2583,0.4385,0.4609,0.6008,0.2593,0.6784,0.6107,0.2928,0.7312,0.7354,0.7665,0.6008,0.2203,0.2243,0.5492,0.6778,0.6358,0.746,0.6111,0.6767,0.7823,0.6666,0.5791,0.4956,0.2681,0.26,0.2598,0.2351,0.6955,0.7048,0.5897,0.6191,0.3275,0.7388,0.6728,1,0.2523,0.4072,0.5581,0.4086,0.4608,0.6375,0.722,0.6586
TX,0.4091,0.247,0.2562,0.6044,0.6161,0.3159,0.2625,0.2422,0.3516,0.3028,0.4968,0.2846,0.2939,0.2512,0.2563,0.2549,0.2736,0.2401,0.2601,0.2644,0.2704,0.3014,0.2763,0.2597,0.2519,0.2937,0.2854,0.239,0.2545,0.2649,0.3038,0.574,0.5999,0.368,0.2854,0.3525,0.2472,0.2957,0.2395,0.2784,0.2582,0.2523,1,0.3331,0.2503,0.2501,0.3006,0.2906,0.2523,0.2473
UT,0.5859,0.3113,0.3512,0.5331,0.2722,0.6547,0.3979,0.3536,0.293,0.2965,0.2536,0.5831,0.6435,0.4995,0.5809,0.5845,0.5251,0.3187,0.4728,0.3049,0.4468,0.57,0.6457,0.5609,0.2684,0.5155,0.3892,0.6129,0.6239,0.4973,0.3593,0.243,0.4294,0.387,0.5999,0.4448,0.5704,0.572,0.5207,0.3086,0.5626,0.4072,0.3331,1,0.4535,0.3751,0.6403,0.6014,0.4433,0.5304
VA,0.3542,0.5361,0.4773,0.3492,0.25,0.5793,0.5904,0.6958,0.5556,0.5288,0.2387,0.6777,0.5401,0.5235,0.6143,0.6047,0.5992,0.4943,0.5664,0.4393,0.6709,0.7497,0.737,0.6846,0.4164,0.6568,0.6543,0.5521,0.5713,0.693,0.4086,0.2616,0.2609,0.366,0.7385,0.4297,0.6173,0.7551,0.5708,0.6036,0.5674,0.5581,0.2503,0.4535,1,0.6176,0.5661,0.7105,0.5939,0.5144
VT,0.4448,0.3911,0.3928,0.4068,0.2456,0.5178,0.6407,0.5819,0.4948,0.2755,0.2336,0.6589,0.5105,0.4315,0.4899,0.5041,0.5042,0.299,0.5728,0.3062,0.7616,0.6464,0.6828,0.5565,0.2787,0.6714,0.4878,0.5198,0.5298,0.7669,0.4012,0.2724,0.2856,0.2928,0.6135,0.339,0.6002,0.6811,0.5911,0.4303,0.5821,0.4086,0.2501,0.3751,0.6176,1,0.5916,0.7171,0.5433,0.495
WA,0.5806,0.3367,0.4055,0.6881,0.3593,0.7707,0.62,0.4985,0.5693,0.2901,0.2613,0.6801,0.6385,0.6098,0.6048,0.6131,0.5765,0.2804,0.6307,0.2789,0.6668,0.6921,0.7492,0.6166,0.2688,0.6548,0.4685,0.5915,0.649,0.693,0.5111,0.3778,0.5466,0.4645,0.6935,0.4435,0.7256,0.7367,0.7192,0.3652,0.6113,0.4608,0.3006,0.6403,0.5661,0.5916,1,0.7383,0.5554,0.5488
WI,0.6169,0.5725,0.5842,0.5565,0.2867,0.6673,0.6047,0.6644,0.6161,0.4439,0.2576,0.8562,0.7338,0.5499,0.7678,0.7349,0.7551,0.4965,0.5505,0.3012,0.8265,0.8623,0.8554,0.805,0.4434,0.82,0.7043,0.7216,0.7301,0.802,0.3993,0.2893,0.4217,0.3373,0.8579,0.5608,0.7812,0.8572,0.6424,0.6302,0.7503,0.6375,0.2906,0.6014,0.7105,0.7171,0.7383,1,0.7367,0.6845
WV,0.6191,0.692,0.6846,0.4409,0.2463,0.5474,0.3894,0.5195,0.5374,0.5138,0.2253,0.7753,0.6966,0.3487,0.7584,0.7708,0.7772,0.5467,0.3083,0.2531,0.6949,0.7489,0.7248,0.7758,0.5537,0.7826,0.7626,0.705,0.6354,0.6364,0.2658,0.2504,0.2972,0.2357,0.7608,0.6971,0.689,0.7197,0.4353,0.7052,0.7366,0.722,0.2523,0.4433,0.5939,0.5433,0.5554,0.7367,1,0.708
WY,0.6734,0.5922,0.6308,0.4273,0.2364,0.5606,0.3232,0.4147,0.4192,0.4072,0.2409,0.727,0.7173,0.3016,0.7086,0.7552,0.755,0.4605,0.2912,0.2222,0.6119,0.6613,0.6884,0.7169,0.4212,0.7455,0.647,0.7459,0.6664,0.5891,0.2373,0.2362,0.2599,0.1984,0.6813,0.6705,0.6405,0.6344,0.3925,0.5835,0.7379,0.6586,0.2473,0.5304,0.5144,0.495,0.5488,0.6845,0.708,1
